Par,Vassom,År,Akvakultur,Jordbruk,Avløp,Industri,Bebygd,Bakgrunn,Menneskeskapt,Totalt
c,7,2023,0.0,0.6651305489898137,13.777408587765793,0.0,149.0399363813,2112.1826098657593,163.48247551805562,2275.665085383815
c,8,2013,0.0,29.668384028767623,8.935929182605735,0.0,176.53562777936705,1399.1806277823007,215.1399409907404,1614.320568773041
c,8,2014,0.0,39.688524196347444,8.919955410505736,0.0,276.2006173513627,2188.871475759286,324.8090969582159,2513.680572717502
c,8,2015,0.0,36.64445406614416,7.486421209635912,0.0,257.69889470428024,2042.398981579936,301.8297699800603,2344.2287515599965
c,8,2016,0.0,29.331237713770705,7.750814194615843,0.0,190.3718774513921,1509.809318944949,227.45392935977864,1737.2632483047275
c,8,2017,0.0,23.796384648745093,7.797983341012599,0.0,148.4242885386014,1176.7400585122516,180.0186565283591,1356.7587150406107
c,8,2018,0.0,25.35912005213858,7.391573048230653,0.0,162.34512184927897,1287.0478235056687,195.0958149496482,1482.143638455317
c,8,2019,0.0,34.53222286793285,5.530498599512888,0.0,270.20773156337384,2142.1568621383535,310.27045303081957,2452.427315169173
c,8,2020,0.0,40.633882922169036,4.7269250367473274,0.0,317.0213179735271,2513.04992243869,362.3821259324435,2875.4320483711335
c,8,2021,0.0,24.01639999883522,3.679570633691104,0.0,248.95365597597055,1973.0025660698839,276.6496266084969,2249.6521926783807
c,8,2022,0.0,17.050987747308962,3.7282589992416786,0.0,136.82866220482882,1084.0924923593584,157.60790895137944,1241.7004013107378
c,8,2023,0.0,15.390712055613117,9.69954824217763,0.0,320.6688585451163,2542.5341725239455,345.759118842907,2888.2932913668524
c,9,2013,0.0,70.03474201162182,1431.8728505138763,56.62,82.3632732948922,857.9803259977741,1640.8908658203902,2498.8711918181643
c,9,2014,0.0,92.10294578719858,2062.221191651935,47.34,116.58847880462335,1214.3310304553497,2318.252616243757,3532.583646699107
c,9,2015,0.0,93.47496905927532,2207.5527655461437,46.28,109.78966022986432,1143.499626905672,2457.0973948352835,3600.5970217409554
c,9,2016,0.0,71.30627626135094,1750.9419955894784,51.04,73.02816126718602,760.84144476124,1946.3164331180155,2707.1578778792555
c,9,2017,0.0,84.77210908036726,1773.0204281390934,48.7,89.1797010850604,929.0659124675791,1995.6722383045212,2924.7381507721
c,9,2018,0.0,90.36294180809004,1434.8453071159756,58.46,100.50466547543367,1047.033734465875,1684.1729143994994,2731.2066488653745
c,9,2019,0.0,111.1543734776409,1481.5645730296017,40.04,149.8487675492531,1560.7760309805576,1782.6077140564958,3343.3837450370534
c,9,2020,0.0,128.36142448527448,1784.268545003767,11.12,155.29008725582165,1617.5682106070328,2079.0400567448633,3696.608267351896
c,9,2021,0.0,92.19982635420628,1326.557995968426,7.86,112.5952690357426,1172.8182113222763,1539.2130913583749,2712.031302680651
c,9,2022,0.0,42.40712530044952,1049.4700531230199,11.93,56.212298715283936,585.7379619813568,1160.0194771387532,1745.7574391201101
c,9,2023,0.0,72.06473191400576,1469.9273691088674,19.96,161.44091616945428,1681.3053430747332,1723.3930171923275,3404.6983602670607
c,10,2013,0.0,5.737595502945426,16.453044362989132,1425.0,16.499553434371578,555.6986266722995,1463.6901933003062,2019.3888199726057
c,10,2014,0.0,7.413869109538601,18.859044362989135,0.0,29.432494556319522,991.1623737437865,55.70540802884726,1046.8677817726336
c,10,2015,0.0,8.07934685630442,21.51178282942465,0.0,31.83422540398816,1072.1815586895154,61.42535508971723,1133.6069137792326
c,10,2016,0.0,7.477997053552173,21.194103750045514,0.0,18.10368308081934,609.6020695949098,46.775783884417024,656.3778534793269
c,10,2017,0.0,8.934529003120318,29.548096440970056,0.0,18.95302846813264,638.2777484479435,57.43565391222302,695.7134023601666
c,10,2018,0.0,11.956296469658577,31.18765092075512,0.0,22.969784881994997,773.5635035220331,66.1137322724087,839.6772357944418
c,10,2019,0.0,11.07688170051698,36.08613818466598,0.0,28.592191350105118,962.9390335296022,75.75521123528807,1038.6942447648903
c,10,2020,0.0,8.235043150352393,12.595877054205474,0.0,23.797150684211047,801.4817162028995,44.62807088876892,846.1097870916684
c,10,2021,0.0,6.463460355603209,10.376008559379084,0.0,17.058299538733447,574.5904875907141,33.89776845371574,608.4882560444298
c,10,2022,0.0,4.1789128233270585,14.039515120962026,0.0,10.848034916693685,365.3655772394633,29.066462860982767,394.43204010044605
c,10,2023,0.0,5.824320779105843,21.69372870482259,0.0,33.514213161943715,1128.611979681279,61.03226264587215,1189.6442423271512
c,11,2013,0.0,201.769270253681,207.869966221,0.0,62.3029,1735.6691463009438,471.942136474681,2207.6112827756247
c,11,2014,0.0,337.7446505042806,190.24474743609997,0.0,104.4778,2912.138916022589,632.4671979403806,3544.6061139629696
c,11,2015,0.0,311.3447806756049,213.4180018954,0.0,97.18910000000001,2708.7151811448193,621.951882571005,3330.667063715824
c,11,2016,0.0,214.81680435228864,220.2307018954,0.0,62.790800000000004,1750.0110545298596,497.8383062476886,2247.849360777548
c,11,2017,0.0,216.8646291472433,206.08343851749999,0.0,63.04560000000001,1757.156773050213,485.99366766474327,2243.150440714956
c,11,2018,0.0,225.64980114002384,189.9295018954,0.0,67.2746,1875.0350705090464,482.85390303542385,2357.88897354447
c,11,2019,0.0,304.9142630137168,179.2457385175,0.0,101.81989999999999,2837.428032357241,585.9799015312168,3423.407933888458
c,11,2020,0.0,301.08754725393413,145.6389929768,0.0,100.71119999999999,2807.146115248194,547.4377402307341,3354.583855478928
c,11,2021,0.0,266.76325048292523,129.1822929768,0.0,87.4125,2436.2664353123305,483.3580434597252,2919.6244787720557
c,11,2022,0.0,130.46744082589436,120.1746929768,0.0,43.1325,1201.5637337949843,293.7746338026944,1495.3383675976786
c,11,2023,0.0,357.2000000162496,127.5466305466,0.0,118.2145,3295.4593397201897,602.9611305628496,3898.4204702830393
c,12,2013,0.0,1594.683585903696,831.584650691775,205.33050494827825,486.81355539688377,29032.225223792826,3118.412296940633,32150.63752073346
c,12,2014,0.0,1739.0550197733237,921.9889986497315,273.0394,524.9115097110337,31305.0049765451,3458.9949281340887,34763.99990467919
c,12,2015,0.0,1630.1271633772712,899.2713910984983,323.3182,488.9754081114922,29162.00659867699,3341.692162587262,32503.698761264255
c,12,2016,0.0,1386.3482814061408,897.8507824094287,398.5071,393.9633447795149,23493.50035878745,3076.669508595084,26570.169867382534
c,12,2017,0.0,1409.7655994288323,900.3022395428923,359.889,407.6727956313484,24311.23388491204,3077.629634603073,27388.86351951511
c,12,2018,0.0,1711.9807383499312,929.7248832450377,341.675,506.83928721095873,30230.334340496705,3490.219908805928,33720.55424930263
c,12,2019,0.0,1653.3176812484282,944.6165215582037,330.2991,516.8377837673488,30825.48412580068,3445.071086573981,34270.55521237466
c,12,2020,0.0,1788.0706560725705,712.0361871565963,325.9044,560.1914869229676,33410.12148159767,3386.2027301521343,36796.32421174981
c,12,2021,0.0,1511.8370560831959,642.7489898446446,341.379,454.7273552597501,27117.522290671495,2950.692401187591,30068.214691859088
c,12,2022,0.0,1168.4194135236241,640.7090094128841,329.7958711388947,327.31409539330735,19517.44703966196,2466.2383894687105,21983.685429130674
c,12,2023,0.0,1962.4995735401783,855.7647933252764,267.319145816997,675.3886859390659,40281.671187156346,3760.9721986215172,44042.64338577786
c,13,2013,0.0,232.63564807031344,943.5190174423428,13.476,152.03678185778043,2143.419788614765,1341.6674473704368,3485.087235985202
c,13,2014,0.0,339.59825854926083,921.0647458116953,11.7995,203.3865300556089,2867.883878075658,1475.8490344165652,4343.7329124922235
c,13,2015,0.0,287.6351002261123,972.26137821635,13.0465,177.52782365940845,2503.376960471253,1450.4708021018705,3953.8477625731234
c,13,2016,0.0,214.41550549947894,937.0422848807251,7.0272,118.872561784261,1676.2168320283886,1277.357552164465,2953.5743841928534
c,13,2017,0.0,210.1438222904565,562.2391604746305,11.0449,113.83872282753306,1604.6926885348691,897.2666055926201,2501.959294127489
c,13,2018,0.0,251.51702400859185,480.5083183572733,9.815,133.8630187487168,1887.1410787083591,875.7033611145821,2762.8444398229412
c,13,2019,0.0,305.7531734829317,480.0365638382815,13.154,175.3238410872506,2472.1504739148813,974.2675784084637,3446.418052323345
c,13,2020,0.0,297.258287411485,358.3956187242725,15.902,179.18509532077454,2525.8800451488282,850.7410014565321,3376.6210466053603
c,13,2021,0.0,247.30008836440138,339.3709379602059,9.13,149.41114907066287,2106.061123883221,745.2121753952702,2851.2732992784913
c,13,2022,0.0,139.50395852277813,431.99184386473405,9.486,79.89075159460226,1126.3066763236534,660.8725539821145,1787.1792303057678
c,13,2023,0.0,255.87038129620154,431.435142402669,9.5855,187.5149935985331,2643.343476894605,884.4060172974037,3527.7494941920086
c,14,2013,0.0,576.9495095521331,200.62756487779998,0.0,244.19008202620006,4142.715245364536,1021.7671564561331,5164.482401820669
c,14,2014,0.0,721.5846858203506,211.4884761782,0.0,370.1936442736,6280.5063131470815,1303.2668062721507,7583.773119419232
c,14,2015,0.0,595.7470767237756,192.982389859,0.0,310.54987505220004,5268.800618980955,1099.2793416349757,6368.079960615931
c,14,2016,0.0,427.8991017063022,192.98506748440002,0.0,186.20946412680001,3159.491915672076,807.0936333175023,3966.5855489895785
c,14,2017,0.0,474.2337126668005,162.39959719580003,0.0,205.80813326979998,3492.223323221243,842.4414431324005,4334.664766353643
c,14,2018,0.0,592.257555856537,167.7004632352,0.0,248.0621987346,4208.6842874278245,1008.020217826337,5216.704505254162
c,14,2019,0.0,681.7010359163068,164.3859575756,0.0,322.7139130088,5475.449968580795,1168.8009065007068,6644.250875081501
c,14,2020,0.0,585.338230326632,130.4422966274,0.0,263.9533625396,4478.130101095159,979.733889493632,5457.863990588791
c,14,2021,0.0,500.9961520372663,115.75501479539999,0.0,240.6041064474,4081.516978118696,857.3552732800663,4938.872251398762
c,14,2022,0.0,316.56640315470844,124.48698027,0.0,149.8721218392,2542.5466891738365,590.9255052639085,3133.472194437745
c,14,2023,0.0,430.87864477641716,158.8370759328,0.0,309.1248679568,5244.057900631259,898.8405886660172,6142.898489297277
c,15,2013,0.0,693.3004182858309,806.9122057369154,32.61,381.1360866267424,20848.612335219335,1913.9587106494885,22762.571045868823
c,15,2014,0.0,812.511474502029,739.3082196215779,40.0,449.5142048505149,24591.644948859546,2041.333898974122,26632.978847833667
c,15,2015,0.0,696.4181938605082,706.9574469637157,38.76,394.2626811589725,21569.674421171832,1836.3983219831964,23406.07274315503
c,15,2016,0.0,579.6741847204778,653.1137258461483,46.72,298.6093827660805,16334.68889999418,1578.1172933327066,17912.806193326887
c,15,2017,0.0,583.9394640375045,649.9056665710227,15.134,300.8158252692351,16453.773410416572,1549.7949558777623,18003.568366294334
c,15,2018,0.0,717.8111892609094,617.2410173313363,24.9,362.70469952687773,19842.05082871945,1722.6569061191233,21564.707734838572
c,15,2019,0.0,670.9301680554227,604.7735792928074,27.58,372.2703287721604,20365.189021491366,1675.5540761203904,22040.743097611758
c,15,2020,0.0,772.5342309996674,710.4296209747289,40.0,446.72068957990683,24436.52242132081,1969.684541554303,26406.206962875112
c,15,2021,0.0,666.5328550135097,594.3033383386748,49.2,353.95359486943795,19363.40008755564,1663.9897882216226,21027.389875777262
c,15,2022,0.0,587.901691086821,586.5602377747998,53.9,269.43059447285117,14738.256516749108,1497.7925233344722,16236.04904008358
c,15,2023,0.0,683.115296902388,671.4615194924318,31.527,469.579439716754,25691.14356488487,1855.6832561115737,27546.826820996444
c,16,2013,0.0,852.633336533291,521.2813869150041,37.646,393.58742218515954,18532.665587121028,1805.1481456334545,20337.813732754483
c,16,2014,0.0,1034.0934119582726,562.6146634917388,45.337,487.4539814523682,22946.47301945734,2129.4990569023794,25075.972076359718
c,16,2015,0.0,948.7564053072987,606.6973463154137,66.179,454.6102278292034,21405.88674064167,2076.2429794519157,23482.129720093584
c,16,2016,0.0,816.4386263755825,633.0108473595071,63.157,381.2409105072698,17949.26054973704,1893.8473842423593,19843.107933979398
c,16,2017,0.0,802.9074329590446,632.1508909177265,56.954,377.8700769102804,17790.286110671754,1869.8824007870517,19660.168511458804
c,16,2018,0.0,849.2482534579985,465.0580109484157,78.33,412.1766767939666,19402.510979200186,1804.812941200381,21207.323920400566
c,16,2019,0.0,749.7782223843357,509.04682458715035,63.751,376.993548529075,17747.656417583916,1699.569595500561,19447.226013084477
c,16,2020,0.0,1136.2260242351517,467.7792670685956,79.974,574.2425396649186,27035.53112530747,2258.221830968666,29293.752956276134
c,16,2021,0.0,846.7414997269179,450.9885856119474,73.273,422.0015985727301,19869.058948696496,1793.0046839115953,21662.063632608093
c,16,2022,0.0,841.3947996457665,444.6151360596845,94.002,334.5004401328931,15749.36134288336,1714.512375838344,17463.873718721705
c,16,2023,0.0,921.6611752002498,550.8050178528267,94.954,494.1562224636048,23265.202885188482,2061.576415516681,25326.779300705162
c,17,2013,0.0,77.16305331466745,127.1104325902308,45.6725872,82.12345822484038,4666.675136431977,332.06953132973865,4998.744667761715
c,17,2014,0.0,106.2098748888037,113.93864973054312,85.636101,126.40889762897109,7183.472154077473,432.1935232483179,7615.665677325791
c,17,2015,0.0,87.40088010067761,74.76786473011212,85.636101,97.61107414277052,5547.874524322348,345.4159199735602,5893.290444295909
c,17,2016,0.0,68.05478595493516,65.66186057400266,53.9409004,70.17369906859943,3988.3086718100712,257.8312459975373,4246.139917807608
c,17,2017,0.0,82.11780343209202,70.57478368875945,109.96856556,89.74224153242635,5099.613768639562,352.40339421327786,5452.017162852841
c,17,2018,0.0,77.4699051255617,57.523844848020076,144.8923456,83.17417285100625,4726.635084470472,363.060268424588,5089.69535289506
c,17,2019,0.0,91.3205949087824,67.49341422368582,67.7214224,102.98373077418131,5852.994916881863,329.5191623066495,6182.514079188512
c,17,2020,0.0,82.67738431800818,53.72082487036411,89.3765284,93.12876302734024,5292.383319636336,318.9035006157125,5611.2868202520485
c,17,2021,0.0,66.45421552270098,53.99905068408545,99.0228938,67.7212206756231,3848.2669890109637,287.1973806824095,4135.464369693374
c,17,2022,0.0,65.09354731735183,53.59598014756506,88.96311274,65.06521522387878,3697.213950482391,272.7178554287957,3969.9318059111865
c,17,2023,0.0,93.00407779141702,68.62641393924191,51.578525199999994,112.59901543907081,6398.648149529481,325.80803236972974,6724.456181899211
c,18,2013,0.0,140.55223575149535,61.68958663424248,0.0,88.55862131459511,7106.845103432813,290.80044370033295,7397.645547133146
c,18,2014,0.0,200.04133846312504,64.51024437593371,0.0,138.14457481997061,11087.06419880415,402.6961576590294,11489.760356463179
c,18,2015,0.0,153.61472465202635,74.04091878457047,0.0,97.14685035907,7797.242428328464,324.8024937956668,8122.044922124131
c,18,2016,0.0,126.61944053162497,61.16894610264106,0.0,74.47100837023926,5977.188596516047,262.2593950045053,6239.447991520553
c,18,2017,0.0,145.9144547693873,76.5730281077109,0.0,91.68395279473688,7357.147466931365,314.17143567183507,7671.3189026032
c,18,2018,3.013,130.46172964219468,72.64288683890786,0.0,79.9346715475716,6414.899537060898,286.0522880286741,6700.951825089573
c,18,2019,0.0,165.74603505045079,73.42335846746249,0.0,113.17351083245701,9082.341811995484,352.3429043503703,9434.684716345855
c,18,2020,0.0,152.3502607973445,63.27571193555702,0.0,101.96209865204177,8183.174070265656,317.5880713849433,8500.762141650599
c,18,2021,0.0,120.85916156888763,61.94369153162819,0.0,72.99607772730835,5858.9885110200485,255.79893082782417,6114.787441847872
c,18,2022,0.0,128.94590056124295,68.76511840120219,0.0,80.39234514186833,6452.071047772333,278.10336410431347,6730.174411876646
c,18,2023,0.0,155.15141959892944,95.46714363468155,0.0,101.137721074203,8117.5004978054785,351.756284307814,8469.256782113293
c,19,2013,0.0,225.68744651536238,388.1279480611689,151.4,218.46359910189648,12680.096830703784,983.6789936784278,13663.775824382212
